"Transactional emails","Email συναλλαγών"
"Hide and clear configuration","Απόκρυψη και εκκαθάριση ρυθμίσεων"
"File format","Τύπος αρχείου"
"Cron expression","Cron έκφραση"
"Reply to","Απάντηση σε"
"INCOMPLETE MODULE INSTALLATION","ΕΛΛΙΠΉΣ ΕΓΚΑΤΆΣΤΑΣΗ ΜΟΝΆΔΑΣ"
"There is conflict (<em>%s</em>).","Υπάρχει ασυμφωνία (<em>%s</em>)."
"Duration","Διάρκεια"
" Error","Σφάλμα"
"Created At: %s","Δημιουργήθηκε την: %s"
"Duration: %s","Διάρκεια: %s"
"Type: %s","Τύπος: %s"
"Store view: %d, %s","Προβολή καταστήματος: %d, %s"
"Status: <span %s>%s</span>","Κατάσταση: <span %s>%s</span>"
"Sender: %s","Αποστολέας: %s"
"Reply to: %s","Απάντηση σε: %s"
" monthly","μηνιαία"
" weekly","εβδομαδιαία"
" daily","ημερήσια"
"Status: %s","Κατάσταση: %s"
"Yes - %s","Ναί - %s"
"%d days","%d μέρες"
"Transactional emails - %s","Email συναλλαγών - %s"
"Background color","Χρώμα παρασκηνίου"
"Text color","Χρώμα κειμένου"
"Copy","Αντιγραφή"
"Subject: %s","Θέμα: %s"