"Transactional emails","Email transazionali"
"Customers synchronization","Sincronizzazione dei clienti"
"Sent email report","Rapporto delle email inviate"
"Send emails","Inviare email"
"Minify <abbr title=""HyperText Markup Language"">HTML</abbr> code","Minimizzare il codice <abbr title=""Linguaggio a marcatori per ipertesti (HyperText Markup Language)"">HTML</abbr>"
"Number of emails per page","Numero di email per pagina"
"Show the subject column","Mostra la colonna soggetto"
"Show the size column","Mostra la colonna dimensione"
"Show the created at column","Mostra la colonna creato il"
"Number of emails","Numero di email"
"Table size","Dimensione della tavola"
"Email reports","Rapporti via email"
"Separate addresses by a space.","Separare gli indirizzi con uno spazio."
"Send an email now","Invia un'email adesso"
"
						<p>Synchronization allow to synchronize customer data from <strong>OpenMage</strong> to your <strong>System</strong>.<br />It is performed every minutes by cron job on the following events (whether from the backend or from the frontend):</p>
						<ul>
							<li>when customer login,</li>
							<li>when saving or deleting a customer,</li>
							<li>when saving or deleting a subscriber,</li>
							<li>when saving a shipping or a billing address of a customer,</li>
							<li>when invoicing an order.</li>
						</ul>
					","<p>La sincronizzazione permette di sincronizzare i dati cliente <strong>OpenMage</strong> del vostro <strong>Sistema</strong>.<br />Si realizza ogni minuto attraverso il compito cron sui seguenti avvenimenti (sia dal front-office che dal back-office):</p>
<ul>
<li>al momento della connessione del cliente,</li>
<li>al momento della registrazione o della soppressione di un cliente,</li>
<li>al momento della registrazione o della soppressione di un abbonato,</li>
<li>al momento della registrazione dell'indirizzo di spedizione e di fatturazione di un cliente,</li>
<li>al momento della fatturazione di una comanda.</li>
</ul>"
"History lifetime","Durata di vita della cronologia"
"Username","Nomeutente"
"Correspondence of attributes","Corrispondenza degli attributi"
"Customer Id field","Campo id cliente"
"In case of a change of email address, the customer identification in the system will be done with the customer id.","In caso di cambiamento di indirizzo email, l'identificazione del cliente nel sistema si farà con l'id del cliente."
"Invalid emails import","Importare le email non valide"
"<p>This import allows to import invalid emails from your <strong>System</strong> to <strong>OpenMage</strong>.<br />It is carried out punctually by cron job thanks to the newest file in the specified folder below.<br />Whatever the file format is, the module looks for an email address (the rest is ignored).</p>","<p>Questo import permette di importare le email non valide dal vostro <strong>Sistema</strong> verso <strong>OpenMage</strong>.<br />È realizzato puntualmente dal compito cron grazie ai file piú recenti contenuti nel cartella definito qui sotto.<br />Qualunque sia il formato, il modulo richiede un indirizzo email (il resto viene ignorato).</p>"
"Files location","Localizzazione dei file"
"In <strong>var</strong> folder.","Nella cartella <strong>var</strong>."
"File format","Formato del file"
"Examples: <b>txt</b> / <b>csv;2</b> / <b>csv,3""</b><br />The file must be in <b>utf-8</b> (with or without BOM).<br />Use <b>→</b> for the tabulation.","Esempi: <b>txt</b> / <b>csv;2</b> / <b>csv,3""</b><br />Il file deve essere in <b>utf-8</b> (con o senza BOM).<br />Utilizzare <b>→</b> per la tabulazione."
"Cron expression","Espressione cron"
"By default, everyday at 2:30 AM (<strong>30 2 * * *</strong>).<br />Warning: maximum once per day.","Per impostazione predefinita, tutti i giorni alle 2:30 (<strong>30 2 * * *</strong>).<br />Al massimo una volta al giorno."
"Validate email addresses not present in the file","Validare gli indirizzi email non presenti nel file"
"If yes, <strong>all</strong> OpenMage customers not present in the file will be marked as having a valid email address.","Se sì, <strong>tutti</strong> i clienti OpenMage non presenti nel file saranno indicati come aventi un indirizzo email valido."
"Number of customers","Numero di clienti"
"Number of invalid emails","Numero di email non valide"
"Last file processed","Ultimo file trattato"
"Unsubscribers emails import","Importare le email disabbonati"
"<p>This import allows to import unsubscribed emails from your <strong>System</strong> to <strong>OpenMage</strong>.<br />It is carried out punctually by cron job thanks to the newest file in the specified folder below.<br />Whatever the file format is, the module looks for an email address (the rest is ignored).</p>","<p>Questa importazione permette d'importare le email disabbonati dal vostro <strong>Sistema</strong> verso <strong>OpenMage</strong>.<br />È realizzato puntualmente dal compito cron grazie ai file piú recenti contenuti nel cartella definito qui sotto.<br />Qualunque sia il formato, il modulo richiede un indirizzo email (il resto viene ignorato).</p>"
"Subscribe customers not present in the file","Abbonare i clienti non presenti nel file"
"If yes, <strong>all</strong> OpenMage customers not present in the file will be subscribed to the newsletter.","Se sì, <strong>tutti</strong> i clienti OpenMage non presenti nel file saranno iscritti alla newsletter."
"Number of subscribers","Numero d'abbonati"
"INCOMPLETE MODULE INSTALLATION","INSTALLAZIONE INCOMPLETA DEL MODULO"
"Recipient(s)","Destinatario(i)"
"Sent At","Inviate il"
"Duration","Durata"
"Open/read","Aperta/letta"
"Unsent","Non inviata"
"Blocked","Bloccate"
" Error","Errore"
"Email number %d - %s","Email numero %d - %s"
"Resend email","Inviare di nuovo l'email"
"Created At: %s","Creato il: %s"
"Sent At: %s","Inviate il: %s"
"Duration: %s","Durata: %s"
"Status: <span %s>%s</span>","Stato: <span %s>%s</span>"
"Approximate size: %s","Dimensione approssimativa: %s"
"Sender: %s","Mittente: %s"
"Recipient(s): %s","Destinatario(i): %s"
"Synchronized At","Sincronizzato il"
"Running","In corso"
"Customer data will be synchronized (%s).","I dati del cliente saranno sincronizzati (%s)."
"Manual import: %s.","Importo manuale: %s."
"Cron job #<a %s>%d</a> finished at %s.","Compito cron n°<a %s>%d</a> terminato il %s."
"An import is in progress (cron job #<a %s>%d</a>).","An import is in progress (compito cron n°<a %s>%d</a>)."
"not yet finished or short <a %s>cron jobs history</a>","not yet finished or short <a %s>cronologia dei compiti cron</a>."
"Subject: %s","Soggetto: %s"
"<a %s>Print</a> this email only if necessary.","<a %s>Stampare</a> questa email solo se necessario."
"Sorry, your email is too old, it is not available online anymore.","Siamo spiacenti, la tua email è troppo vecchia, quindi non è più disponibile online."
"Status: %s","Stato: %s"
"Week %d","Settimana %d"
"Can not send the report by email to %s.","Impossibile inviare il rapporto via email a %s."
" monthly","mensile"
" weekly","settimanale"
" daily","giornaliero"
"Yes - forced by admin","Sì - forzata dall'amministratore"
"No - forced by admin","No - forzata dall'amministratore"
"No - forced by customer","No - forzata dal cliente"
"%d days","%d giorni"
"%d days (%d weeks)","%d giorni (%d settimana)"
"%d days (%d month)","%d giorni (%d mese)"
"%d days (%d months)","%d giorni (%d mesi)"
"not available","non disponibile"
"Yes with PHP-TIDY (%s)","Sì con PHP-TIDY (%s)"
"The <em>%s</em> field is a required field.","Il campo <em>%s</em> è un campo obbligatorio."
"Email number %d has been successfully deleted.","L'email numero %d é stata cancellata con successo."
"Invalid email (hard bounce)","Email inesistente (hard bounce)"
"Transactional emails - %s","Email transazionali - %s"
"Email address is invalid.","L'indirizzo email non esiste."
"Email address is valid.","L'indirizzo email è valido."
"%d email(s), %d send, %d open/read.","%d email, %d inviata(e), %d aperta(e)/letta(e)."
"Customer is subscribed to the newsletter.","Il cliente è abbonato alla newsletter."
"<b>without</b>","<b>senza</b>"
"<b>all</b>","<b>tutti</b>"
"%d months","%d mesi"
"%d years","%d anni"
"Background color","Colore di sfondo"
"Text color","Colore del testo"