"Transactional emails","取り引きメール"
"File format","ファイル形式"
"Duration","長さ"
"Created At: %s","作成日：%s"
"Duration: %s","長さ：%s"
"Status: <span %s>%s</span>","状態：<span %s>%s</span>"
"Sender: %s","発送人：%s"
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
" monthly","月ごと"
" weekly","週ごと"
" daily","日ごと"
"Email %d: %s","メールアドレス%d：%s"
"Status: %s","状態：%s"
"%d days","%d日間"
" %d days (%d weeks)","%d日間（%d週間）"
"%d days (%d weeks)","%d日間（%d週間）"
"%d days (%d month)","%d日間（%dヶ月）"
" %d days (%d months)","%d日間（%dヶ月）"
"%d days (%d months)","%d日間（%dヶ月）"
"Transactional emails - %s","取り引きメール - %s"
"Background color","背景色"
"Text color","テキストの色"
"%d month","%dヶ月"
" %d months","%dヶ月"
"%d months","%dヶ月"
" %d years","%d年"
"%d years","%d年"
"Subject: %s","件名：%s"