"Transactional emails","Транзакційні Email-и"
"Username","Ім'я користувача"
"File format","Формат файлу"
"Duration","Тривалість"
"Created At: %s","Створено: %s"
"Duration: %s","Тривалість: %s"
"Status: <span %s>%s</span>","Статус: <span %s>%s</span>"
"Sender: %s","Відправник: %s"
"%s kB","%s кБ"
"%s MB","%s МБ"
"%s GB","%s ГБ"
" monthly","щомісячно"
" weekly","щотижнево"
" daily","щоденно"
"Status: %s","Статус: %s"
"Transactional emails - %s","Транзакційні Email-и - %s"
"Background color","Колір тла"
"Text color","Колір тексту"
"Subject: %s","Тема: %s"